Polymer,Solvent,Temperature (°C),Volume fraction,Interaction Parameter
"Cellulose acetate, 2.3 acetate groups per residue",acetone,25 to 45,0,0.44
"Cellulose acetate, 2.3 acetate groups per residue",acetic acid,25 to 45,0,0.4
"Cellulose acetate, 2.3 acetate groups per residue",aniline,25 to 35,0,0.375 to 0.34
"Cellulose acetate, 2.3 acetate groups per residue","1,4-dioxane",25 to 45,0,0.38
"Cellulose acetate, 2.3 acetate groups per residue",methyl acetate,25 to 35,0,0.45
"Cellulose acetate, 2.3 acetate groups per residue",nitromethane,25 to 45,0,0.43
"Cellulose acetate, 2.3 acetate groups per residue",2-picoline,25,0,0.36
"Cellulose acetate, 2.3 acetate groups per residue",3-picoline,25,0,0.285
"Cellulose acetate, 2.3 acetate groups per residue",4-picoline,25,0,0.26
"Cellulose acetate, 2.3 acetate groups per residue",pyridine,25 to 45,0,0.28
"Cellulose acetate, 2.5 acetate groups per residue",acetone,30,0.2 to 0.4,0.30 to 0.51
"Cellulose acetate, 2.5 acetate groups per residue","1,4-dioxane",30,0.2 to 0.4,0.31 to 0.51
"Cellulose acetate, 2.5 acetate groups per residue",methyl acetate,30,0.2 to 0.4,0.43 to 0.59
"Cellulose acetate, 2.5 acetate groups per residue",pyridine,30,0.2 to 0.4,0.07 to 0.09
"Cellulose acetate, 2.5 acetate groups per residue",tetrahydrofuran,13,0,0.442
"Cellulose acetate, 3.0 acetate groups per residue",chloroform,25,0,0.34
"Cellulose acetate, 3.0 acetate groups per residue",chloroform,30,0.2 to 0.6,0.36 to 0.51
"Cellulose acetate, 3.0 acetate groups per residue",dichloromethane,25,0 to 0.6,0.3 to 0.49
"Cellulose nitrate, 2.4 nitrate groups per residue",acetone,25,0,0.27
"Cellulose nitrate, 2.4 nitrate groups per residue",acetone,30,0 to 0.2,0.24 to 0.05
"Cellulose nitrate, 2.4 nitrate groups per residue",amyl acetate,25,0,0.02
"Cellulose nitrate, 2.4 nitrate groups per residue",2-butanone,25,0,0.21
"Cellulose nitrate, 2.4 nitrate groups per residue",butyl acetate,25,0,0.015
"Cellulose nitrate, 2.4 nitrate groups per residue",ethyl acetate,25,0,0.22
"Cellulose nitrate, 2.4 nitrate groups per residue",2-heptanone,25,0,0.02
"Cellulose nitrate, 2.4 nitrate groups per residue",2-hexanone,25,0,0.15
"Cellulose nitrate, 2.4 nitrate groups per residue",methyl acetate,25,0,0.3
"Cellulose nitrate, 2.4 nitrate groups per residue",methyl acetate,30,0 to 0.2,0.17 to -0.06
"Cellulose nitrate, 2.4 nitrate groups per residue",2-octanone,25,0,0.16
"Cellulose nitrate, 2.4 nitrate groups per residue",propyl acetate,25,0,0.13
"Cellulose nitrate, 2.6 nitrate groups per residue",acetone,20,0.2 to 0.8,0.14 to -1.24
"Cellulose nitrate, 2.6 nitrate groups per residue",acetonitrile,20,0.4 to 1,0.59 to -0.1
"Cellulose nitrate, 2.6 nitrate groups per residue",cyclopentanone,20,0.2 to 0.8,0.42 to -2.4
"Cellulose nitrate, 2.6 nitrate groups per residue","2,4-dimethyl-3-pentanone",20,0.2 to 0.6,0.62 to -1.7
"Cellulose nitrate, 2.6 nitrate groups per residue","1,4-dioxane",20,0.4 to 0.8,1.2 to -1.7
"Cellulose nitrate, 2.6 nitrate groups per residue",ethyl acetate,20,0.2 to 0.6,0.04 to -1.35
"Cellulose nitrate, 2.6 nitrate groups per residue",ethyl formate,20,0.2 to 0.8,-0.08 to -3.2
"Cellulose nitrate, 2.6 nitrate groups per residue",ethyl n-propyl ether,20,0.8,1.2
"Cellulose nitrate, 2.6 nitrate groups per residue",isoamyl acetate,20,0.2 to 0.6,-0.89 to -3.3
"Cellulose nitrate, 2.6 nitrate groups per residue",3-methylbutanone,20,0.2 to 0.6,-0.5 to -1.6
"Cellulose nitrate, 2.6 nitrate groups per residue",nitromethane,20,0.2 to 0.8,0.66 to 0.45
"Cellulose nitrate, 2.6 nitrate groups per residue",pinacolone,20,0.2 to 0.8,0.16 to -3.7
"Cellulose nitrate, 2.6 nitrate groups per residue",propyl acetate,20,0.2 to 0.8,-0.38 to -4.1
"Ethyl cellulose, 2.3 ethyl groups per residue",acetone,25,0,0.46
"Ethyl cellulose, 2.3 ethyl groups per residue",benzene,25,0,0.48
"Ethyl cellulose, 2.3 ethyl groups per residue",n-butyl acetate,25,0,0.24
"Ethyl cellulose, 2.3 ethyl groups per residue",carbon tetrachloride,25,0,0.46
"Ethyl cellulose, 2.3 ethyl groups per residue",chloroform,25,0,0.34
"Ethyl cellulose, 2.3 ethyl groups per residue",ethyl acetate,25,0,0.395
"Ethyl cellulose, 2.3 ethyl groups per residue",2-heptanone,25,0,0.38
"Ethyl cellulose, 2.3 ethyl groups per residue",methyl acetate,25,0,0.41
"Ethyl cellulose, 2.3 ethyl groups per residue",2-pentanone,25,0,0.37
"Ethyl cellulose, 2.3 ethyl groups per residue",n-pentyl acetate,25,0,0.28
"Ethyl cellulose, 2.3 ethyl groups per residue",n-propyl acetate,25,0,0.33
"Ethyl cellulose, 2.3 ethyl groups per residue",toluene,25,0,0.47
Hydroxypropyl cellulose,acetone,25,0.60 to 0.90,0.58 to 0.83
Hydroxypropyl cellulose,ethanol,25,0.61 to 0.90,0.57 to 0.55
Hydroxypropyl cellulose,tetrahyrofuran,25,0.52 to 0.90,0.34 to 0.48
Hydroxypropyl cellulose,water,25,0 to 0.13,0.480 to 0.52
Hydroxypropyl cellulose,water,25,0.51 to 1,0.63 to 1.55
Hydroxypropyl cellulose,water,40,0 to 0.13,0.499 to 0.54
Polyacrylamide,water,3,0.1,0.51
Polyacrylamide,water,25,0,0.495
Polyacrylamide,water,25,0.06,0.53
Polyacrylamide,water,60,0.08,0.49
Polyacrylamide,0.2N HCl,20 to 61,0,0.499 to 0.491
Polyacrylonitrile,dimethylformamide,14,0,0.2
Poly(N-acryloylpyrrolidine),ethanol,10 to 60,0.08,0.45
Poly(N-acryloylpyrrolidine),water,3,0.07,0.49
Poly(N-acryloylpyrrolidine),water,30,0.12,0.53
Poly(N-acryloylpyrrolidine),water,60,0.35,0.66
"Poly(cis-1,4-butadiene)",benzene,35,0.06 to 0.10,0.28
"Poly(cis-1,4-butadiene)",carbon tetrachloride,23.5,0.62 to 0.85,0.11 to 0.02
"Poly(cis-1,4-butadiene)",dichloromethane,23.5,0.69 to 0.85,0.32 to 0.21
"Poly(cis-1,4-butadiene)",cyclohexane,23.5,0.65 to 0.83,0.46 to 0.34
"Poly(cis-1,4-butadiene)",n-decane,35,0.16 to 0.23,0.46
"Poly(cis-1,4-butadiene)",n-hexadecane,35,0.26 to 0.30,0.54
"Poly(cis-1,4-butadiene)",n-hexane,23.5,0.67 to 0.88,0.61 to 0.45
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",acetone,40 to 100,1,1.64 to 1.32
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",acetonitrile,40 to 100,1,2.86 to 2.36
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",benzene,40 to 100,1,0.26 to 0.19
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",1-butanol,40 to 100,1,2.76 to 1.64
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",2-butanone,40 to 100,1,1.19 to 0.97
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",butyl acetate,40 to 100,1,0.52 to 0.44
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",butyronitrile,40 to 100,1,1.90 to 1.57
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",carbon tetrachloride,40 to 100,1,0.10 to 0.15
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",chloroform,40 to 100,1,0.05 to 0.07
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",1-chlorobutane,40 to 100,1,0.33 to 0.25
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",1-chloropentane,40 to 100,1,0.37 to 0.32
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",1-chloropropane,40 to 100,1,0.36 to 0.30
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",cyclohexane,40 to 100,1,0.22 to 0.15
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",ethanol,40 to 100,1,3.41 to 2.30
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",ethyl acetate,40 to 100,1,0.86 to 0.69
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",ethylcyclohexane,40 to 100,1,0.08 to 0.04
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",ethyl ether,40 to 100,1,0.42 to 0.40
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",n-heptane,40 to 100,1,0.36 to 0.31
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",1-heptene,40 to 100,1,0.25 to 0.23
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",n-hexane,40 to 100,1,0.37
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",1-hexene,40 to 100,1,0.32 to 0.28
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",methanol,40 to 100,1,3.85 to 2.70
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",methyl acetate,40 to 100,1,1.14 to 0.92
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",methylcyclohexane,40 to 100,1,0.17 to 0.13
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",methyl isobutyl ketone,40 to 100,1,0.95 to 0.72
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",n-octane,40 to 100,1,0.34 to 0.28
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",1-octene,40 to 100,1,0.23 to 0.21
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",n-pentane,40 to 100,1,0.44 to 0.36
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",3-pentanone,40 to 100,1,0.82 to 0.67
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",1-propanol,40 to 100,1,2.97 to 1.97
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",2-propanol,40 to 100,1,2.93 to 1.86
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",proprionitrile,40 to 100,1,2.25 to 1.82
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",n-propyl acetate,40 to 100,1,0.67 to 0.55
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",n-propyl ether,40 to 100,1,0.51 to 2.26
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",tetrahydrofuran,40 to 100,1,0.35 to 0.29
"Polybutadiene, 10% cis, 21% trans, 69% vinyl",toluene,40 to 100,1,0.14 to 0.12
Poly(1-butene),benzene,135,1,0.49
Poly(1-butene),cyclohexane,135,1,0.2
Poly(1-butene),n-decane,115 to 135,1,0.3
Poly(1-butene),"2,5-dimethylhexane",115 to 135,1,0.36
Poly(1-butene),"2,4-dimethylpentane",115 to 135,1,0.4
Poly(1-butene),"2,3-dimethylpentane",115 to 135,1,0.35
Poly(1-butene),3-ethylpentane,115 to 135,1,0.34
Poly(1-butene),n-heptane,115 to 135,1,0.38
Poly(1-butene),2-methylhexane,115 to 135,1,0.39
Poly(1-butene),3-methylhexane,115 to 135,1,0.38
Poly(1-butene),n-nonane,115 to 135,1,0.32
Poly(1-butene),n-octane,115 to 135,1,0.36
Poly(1-butene),toluene,135,1,0.47
Poly(1-butene),"2,2,4-trimethylpentane",115 to 135,1,0.35
Poly(butylene adipate),acetone,120,1,0.54
Poly(butylene adipate),benzene,120,1,0.27
Poly(butylene adipate),2-butanone,120,1,0.43
Poly(butylene adipate),carbon tetrachloride,120,1,0.55
Poly(butylene adipate),chloroform,120,1,-0.06
Poly(butylene adipate),dichloromethane,120,1,0.7
Poly(butylene adipate),ethyl acetate,120,1,0.43
Poly(butylene adipate),n-heptane,120,1,1.5
Poly(butylene adipate),n-hexane,120,1,1.4
Poly(butylene adipate),n-pentane,120,1,1.3
Poly(n-butyl methacrylate),ethanol,27,0 to 1,0.492 to 1.29
Poly(n-butyl methacrylate),ethanol,86,0 to 1,0.399 to 0.95
Poly(n-butyl methacrylate),2-propanol,40,0 to 1,0.509 to 1.4
Poly(n-butyl methacrylate),2-propanol,80,0 to 1,0.477 to 1.0
Poly(?-caprolactone),acetone,100 to 120,1,0.46 to 0.54
Poly(?-caprolactone),benzene,100 to 120,1,0.06 to 0.11
Poly(?-caprolactone),n-butane,100,1,1.22
Poly(?-caprolactone),1-butanol,100,1,0.59
Poly(?-caprolactone),2-butanone,100 to 120,1,0.36 to 0.45
Poly(?-caprolactone),n-butyl acetate,70 to 140,1,0.21 to 0.26
Poly(?-caprolactone),n-butyl acetate,100,1,0.31
Poly(?-caprolactone),carbon tetrachloride,100 to 120,1,0.25 to 0.37
Poly(?-caprolactone),chlorobenzene,100,1,-0.08
Poly(?-caprolactone),1-chlorobutane,100,1,0.33
Poly(?-caprolactone),chloroform,100 to 120,1,-0.40 to -0.22
Poly(?-caprolactone),chloromethane,100,1,0.16
Poly(?-caprolactone),1-chloropentane,100,1,0.33
Poly(?-caprolactone),cycloheptane,100,1,0.83
Poly(?-caprolactone),cyclohexane,100,1,0.88
Poly(?-caprolactone),cyclohexene,100,1,0.6
Poly(?-caprolactone),cyclooctane,100,1,0.83
Poly(?-caprolactone),cyclopentane,100,1,0.82
Poly(?-caprolactone),n-decane,100,1,1.44
Poly(?-caprolactone),"1, 1-dichloroethane",100,1,-0.04
Poly(?-caprolactone),"1,2-dichloroethane",100,1,-0.14
Poly(?-caprolactone),dichloromethane,100,1,-0.26
Poly(?-caprolactone),"1,4-dioxane",100,1,0.13
Poly(?-caprolactone),ethanol,100,1,1.01
Poly(?-caprolactone),ethyl acetate,100 to 120,1,0.36 to 0.42
Poly(?-caprolactone),ethyl acetate,70 to 140,1,0.32 to 0.29
Poly(?-caprolactone),ethylbenzene,100,1,0.16
Poly(?-caprolactone),ethylbenzene,70 to 140,1,0.10 to 0.14
Poly(?-caprolactone),n-heptane,100 to 120,1,1.2
Poly(?-caprolactone),n-hexane,100 to 120,1,1.2
Poly(?-caprolactone),methyl acetate,100,1,0.39
Poly(?-caprolactone),methyl acetate,70 to 140,1,0.35 to 0.32
Poly(?-caprolactone),n-nonane,100,1,1.37
Poly(?-caprolactone),n-octane,100,1,1.3
Poly(?-caprolactone),n-pentane,100 to 120,1,1.2
Poly(?-caprolactone),1-pentanol,100,1,0.46
Poly(?-caprolactone),2-pentyl acetate,70 to 140,1,0.40 to 0.28
Poly(?-caprolactone),propane,100,1,1.21
Poly(?-caprolactone),1-propanol,100,1,0.72
Poly(?-caprolactone),propyl acetate,100,1,0.33
Poly(?-caprolactone),propyl acetate,70 to 140,1,0.29 to 0.24
Poly(?-caprolactone),n-propylbenzene,90 to 140,1,0.20 to 0.19
Poly(?-caprolactone),2-propylbenzene,80 to 140,1,0.10 to 0.13
Poly(?-caprolactone),tetrahydrofuran,100,1,0.13
Poly(?-caprolactone),toluene,100,1,0.08
Poly(?-caprolactone),"1,1,1-trichloroethane",100,1,0.07
Poly(?-caprolactone),trichloroethylene,100,1,0.02
Poly(?-caprolactone),n-undecane,100,1,1.52
Polycarbonate,benzene,179 to 253,1,0.49 to 0.39
Polycarbonate,cyclohexane,179 to 253,1,1.23 to 0.77
Polycarbonate,n-decane,179 to 253,1,1.67 to 1.52
Polycarbonate,n-dodecane,179 to 253,1,1.74 to 1.46
Polycarbonate,ethylbenzene,179 to 253,1,0.49 to 0.47
Polycarbonate,ethylcyclohexane,179 to 253,1,1.12 to 0.92
Polycarbonate,n-heptane,179 to 253,1,1.73 to 1.34
Polycarbonate,n-hexadecane,211 to 253,1,1.73 to 1.57
Polycarbonate,n-hexane,179 to 231,1,1.87 to 1.19
Polycarbonate,methylcyclohexane,179 to 253,1,1.19 to 0.82
Polycarbonate,n-nonane,179 to 253,1,1.69 to 1.43
Polycarbonate,n-octane,179 to 253,1,1.60 to 1.45
Polycarbonate,n-tetradecane,179 to 253,1,1.82 to 1.54
Polycarbonate,toluene,179 to 253,1,0.46 to 0.37
Polycarbonate,n-undecane,179 to 253,1,1.73 to 1.53
Polychloroprene,acetone,100,1,0.87
Polychloroprene,benzene,100,1,0.18
Polychloroprene,n-butane,100,1,0.99
Polychloroprene,1-butanol,100,1,1.61
Polychloroprene,2-butanone,100,1,0.61
Polychloroprene,butyl acetate,100,1,0.44
Polychloroprene,carbon tetrachloride,100,1,0.23
Polychloroprene,chlorobenzene,100,1,0.1
Polychloroprene,1-chlorobutane,100,1,0.39
Polychloroprene,chloroform,100,1,0.28
Polychloroprene,chloromethane,100,1,0.52
Polychloroprene,1-chloropentane,100,1,0.33
Polychloroprene,cycloheptane,100,1,0.45
Polychloroprene,cyclohexane,100,1,0.55
Polychloroprene,cyclohexene,100,1,0.38
Polychloroprene,cyclooctane,100,1,0.4
Polychloroprene,cyclopentane,100,1,0.55
Polychloroprene,n-decane,100,1,0.94
Polychloroprene,"1,1-dichloroethane",100,1,0.37
Polychloroprene,"1,2-dichloroethane",100,1,0.48
Polychloroprene,dichloromethane,100,1,0.43
Polychloroprene,"1,4-dioxane",100,1,0.46
Polychloroprene,ethanol,100,1,2.27
Polychloroprene,ethyl acetate,100,1,0.64
Polychloroprene,ethylbenzene,100,1,0.16
Polychloroprene,n-heptane,100,1,0.88
Polychloroprene,n-hexane,100,1,0.91
Polychloroprene,methyl acetate,100,1,0.81
Polychloroprene,n-nonane,100,1,0.92
Polychloroprene,n-octane,100,1,0.9
Polychloroprene,n-pentane,100,1,0.96
Polychloroprene,1-pentanol,100,1,1.41
Polychloroprene,propane,100,1,1.36
Polychloroprene,1-propanol,100,1,1.83
Polychloroprene,propyl acetate,100,1,0.51
Polychloroprene,tetrahydrofuran,100,1,0.06
Polychloroprene,"1,1,1-trichloroethane",100,1,0.21
Polychloroprene,trichloroethylene,100,1,0.24
Polychloroprene,toluene,100,1,0.14
Polychloroprene,n-undecane,100,1,0.96
Poly(o-chlorostyrene),butyl acetate,30,0,0.49
Poly(o-chlorostyrene),chlorobenzene,30,0,0.472
Poly(o-chlorostyrene),toluene,30,0,0.47
Poly(p-chlorostyrene),butyl acetate,30,0,0.448
Poly(p-chlorostyrene),chlorobenzene,30,0,0.465
Poly(p-chlorostyrene),toluene,22,0.2 to 0.6,0.55
Poly(p-chlorostyrene),toluene,30,0,0.489
"Poly(N, N-diethylacrylamide)",ethanol,10 to 60,0.08,0.47
"Poly(N, N-diethylacrylamide)",water,3,0.07,0.5
"Poly(N, N-diethylacrylamide)",water,30,0.05,0.62
"Poly(N, N-diethylacrylamide)",water,60,0.85,1.16
"Poly(N,N-dimethylacrylamide)",ethanol,10 to 60,0.08,0.40 to 0.41
"Poly(N,N-dimethylacrylamide)",water,3,0.07,0.48
"Poly(N,N-dimethylacrylamide)",water,60,0.1,0.52
Poly(dimethyl siloxane),acetone,100,1,1.33
Poly(dimethyl siloxane),benzene,20,0.4 to 1,0.64 to 0.85
Poly(dimethyl siloxane),benzene,25,0.2 to 1,0.56 to 0.82
Poly(dimethyl siloxane),benzene,30,0.08 to 0.47,0.50 to 0.36
Poly(dimethyl siloxane),benzene,30,0.88 to 1,0.745 to 0.759
Poly(dimethyl siloxane),benzene,25 to 70,1,0.80 to 0.74
Poly(dimethyl siloxane),benzene,40 to 100,1,0.79 to 0.58
Poly(dimethyl siloxane),n-butane,100,1,0.25
Poly(dimethyl siloxane),1-butanol,100,1,1.91
Poly(dimethyl siloxane),2-butanone,20,0.08 to 0.30,0.52 to 0.61
Poly(dimethyl siloxane),2-butanone,25,0,0.5
Poly(dimethyl siloxane),2-butanone,30,0.35 to 0.66,0.44 to 0.66
Poly(dimethyl siloxane),2-butanone,50,0.08 to 0.29,0.50 to 0.58
Poly(dimethyl siloxane),butyl acetate,100,1,0.68
Poly(dimethyl siloxane),carbon dioxide (20 < P < 62 bar),35,0.78 to 0.94,0.75
Poly(dimethyl siloxane),carbon dioxide (P = 300 bar),45,0.67,0.45
Poly(dimethyl siloxane),carbon tetrachloride,100,1,0.36
Poly(dimethyl siloxane),chlorobenzene,20,0 to 0.2,0.475 to 0.54
Poly(dimethyl siloxane),chlorobenzene,60,0 to 0.2,0.455 to 0.52
Poly(dimethyl siloxane),chlorobenzene,100,1,0.76
Poly(dimethyl siloxane),1-chlorobutane,100,1,0.49
Poly(dimethyl siloxane),chloroform,100,1,0.6
Poly(dimethyl siloxane),chloromethane,100,1,0.44
Poly(dimethyl siloxane),1-chloropentane,100,1,0.48
Poly(dimethyl siloxane),cycloheptane,25 to 70,1,0.56 to 0.53
Poly(dimethyl siloxane),cycloheptane,100,1,0.42
Poly(dimethyl siloxane),cyclohexane,20,0 to 0.2,0.409 to 0.44
Poly(dimethyl siloxane),cyclohexane,25,0.2 to 0.6,0.46 to 0.50
Poly(dimethyl siloxane),cyclohexane,25 to 70,1,0.48
Poly(dimethyl siloxane),cyclohexane,30,0.35 to 0.95,0.42
Poly(dimethyl siloxane),cyclohexane,100,1,0.35
Poly(dimethyl siloxane),cyclohexene,100,1,0.36
Poly(dimethyl siloxane),cyclooctane,25 to 70,1,0.66 to 0.61
Poly(dimethyl siloxane),cyclooctane,100,1,0.5
Poly(dimethyl siloxane),cyclopentane,25 to 70,1,0.42 to 0.46
Poly(dimethyl siloxane),cyclopentane,100,1,0.28
Poly(dimethyl siloxane),n-decane,100,1,0.51
Poly(dimethyl siloxane),"1,1-dichloroethane",100,1,0.6
Poly(dimethyl siloxane),"1,2-dichloroethane",100,1,0.96
Poly(dimethyl siloxane),dichloromethane,100,1,0.69
Poly(dimethyl siloxane),"2,6-dimethyl-4-heptanone",35,0.08 to 0.22,0.45 to 0.49
Poly(dimethyl siloxane),"1,4-dioxane",25 to 70,1,1.32 to 1.18
Poly(dimethyl siloxane),"1,4-dioxane",100,1,1.06
Poly(dimethyl siloxane),ethyl acetate,100,1,0.82
Poly(dimethyl siloxane),ethanol,100,1,2.6
Poly(dimethyl siloxane),ethylbenzene,24,0.4 to 1,0.54 to 0.77
Poly(dimethyl siloxane),ethylbenzene,25 to 70,1,0.83 to 0.78
Poly(dimethyl siloxane),ethylbenzene,25 to 70,1,0.77 to 0.73
Poly(dimethyl siloxane),ethylbenzene,100,1,0.62
Poly(dimethyl siloxane),n-heptane,20,0.4 to 1,0.46
Poly(dimethyl siloxane),n-heptane,35,0.06 to 0.19,0.42
Poly(dimethyl siloxane),n-heptane,50,0.06 to 0.16,0.43
Poly(dimethyl siloxane),n-heptane,25 to 70,1,0.49
Poly(dimethyl siloxane),n-heptane,100,1,0.35
Poly(dimethyl siloxane),3-heptanone,35,0.08 to 0.29,0.48 to 0.56
Poly(dimethyl siloxane),3-heptanone,50,0.08 to 0.26,0.47 to 0.53
Poly(dimethyl siloxane),hexamethyldisiloxane,23,0.4 to 1,0.30 to 0.25
Poly(dimethyl siloxane),hexamethyldisiloxane,25 to 70,1,0.28 to 0.34
Poly(dimethyl siloxane),n-hexane,20,0.03 to 0.17,0.39 to 0.37
Poly(dimethyl siloxane),n-hexane,30,0.86 to 1,0.387 to 0.397
Poly(dimethyl siloxane),n-hexane,50,0.06 to 0.11,0.41
